English,German,Frequency
fucking,Ficken,232845
problem,Problem,232325
few,wenig,231375
friends,Freunde,230464
gotta,muss,230351
ago,vor,229751
open,offen,229669
anyone,jeder,228332
killed,getötet,228297
hope,Hoffnung,226993
face,Gesicht,225482
until,bis,225171
lost,verloren,222398
police,Polizei,221380
excuse,Ausrede,219855
turn,drehen,218563
business,Geschäft,215855
case,Fall,215274
wants,will,215149
says,sagt,215090
TRUE,WAHR,214773
die,sterben,214062
heart,Herz,213914
soon,bald,213279
each,jede,211943
worry,Sorge,211329
later,später,208878
year,Jahr,208705
watch,betrachten,207949
music,Musik,207205
hand,Hand,206247
having,haben,206106
probably,wahrscheinlich,202736
beautiful,Schön,200811
doctor,Arzt,198424
sit,sitzen,198149
eat,essen,197654
thinking,Denken,195875
young,jung,194810
second,zweite,193687
working,Arbeiten,193172
water,Wasser,193014
person,Person,192652
part,Teil,192248
kids,Kinder,192050
late,spät,191989
stuff,Sachen,190629
exactly,Exakt,189513
under,unter,189347
death,Tod,189000
minute,Minute,188958
pay,zahlen,188822
crazy,verrückt,188767
forget,vergessen,188628
everybody,alle,188532
kid,Kind,187858
change,ändern,186962
gave,gab,186445
happen,passieren,186041
damn,Verdammt,184228
five,fünf,183626
drink,trinken,182580
far,weit,182287
knows,weiß,181663
its,es ist,180594
whatever,was auch immer,180082
eyes,Augen,179260
shut,schließen,178378
aren,Aren,178286
hit,Schlag,177770
taking,Einnahme,177667
easy,einfach,177337
times,mal,176522
check,überprüfen,176507
hands,Hände,176291
minutes,Protokoll,175091
deal,handeln,174929
different,anders,174657
means,bedeutet,174311
point,Punkt,174205
inside,innen,174081
makes,macht,172281
asked,fragte,171740
somebody,jemand,171596
mine,Mine,170636
making,Herstellung,169037
body,Körper,168798
afraid,besorgt,168774
sleep,schlafen,168103
chance,Chance,167981
dear,Liebling,167351
quite,ganz,166980
four,vier,166957
anyway,Trotzdem,166702
close,schließen,166677
ain,Ain,166551
party,Party,166137
fun,Spaß,165693
against,gegen,165033
word,Wort,164938
comes,kommt,164503
important,wichtig,164386
set,Satz,164165
shall,soll,164162
story,Geschichte,164040
number,Nummer,163259
daughter,Tochter,163071
least,am wenigsten,162905
waiting,warten,162571
hurt,schmerzen,161421
wish,Wunsch,160204
moment,Moment,159995
fight,Streit,159911
week,Woche,159444
husband,Ehemann,159394
girls,Mädchen,159061
rest,ausruhen,158976
married,verheiratet,157817
fire,Feuer,157532
game,Spiel,157501
nobody,niemand,157014
mr,Herr,156641
children,Kinder,156181
side,Seite,155667
stand,Stand,155391
read,lesen,154667
though,obwohl,154479
cut,schneiden,154407
started,gestartet,154345
sister,Schwester,154095
supposed,angeblich,153117
between,zwischen,152520
child,Kind,151864
goes,geht,151195
hours,Std.,151156
speak,sprechen,150927
women,Frauen,150803
behind,hinter,148469
almost,fast,148405
truth,Wahrheit,148389
blood,Blut,147913
able,fähig,147205
lady,Dame,147121
anymore,mehr,146903
playing,Spielen,146615
gets,bekommt,146064
shot,Schuss,144772
reason,Grund,144399
trouble,Problem,143235
break,brechen,143107
war,Krieg,142825
city,Stadt,142573
walk,gehen,142055
town,Stadt,141835
trust,Vertrauen,141327
dr.,DR.,141231
met,getroffen,141208
office,Büro,141140
question,Frage,140970
brought,gebracht,140661
yours,dein,140553
welcome,Willkommen,140327
high,hoch,140078
wow,Wow,139593
couple,Paar,138996
half,Hälfte,138527
died,gestorben,138432
cool,Cool,138139
free,frei,137598
either,entweder,137448
seems,scheint,136699
power,Leistung,136611
whoa,whoa,136564
bye,Tschüss,136276
buy,besorgen,136137
telling,erzählen,136109
honey,Honig,135631
tried,versucht,135401
front,Vorderseite,135341
team,Team,134358
answer,antworten,134088
gun,Pistole,133072
boys,Jungen,132594
line,Linie,132433
send,schicken,131999
news,Nachricht,131599
stupid,dumm,131497
bed,Bett,131445
hurry,sich beeilen,130182
full,voll,129735
months,Monate,129732
save,speichern,129390
sometimes,Manchmal,128779
become,werden,128716
along,entlang,128220
hate,hassen,128153
food,Essen,127657
outside,außen,127251
light,Licht,126657
l,l,126518
needs,Bedürfnisse,126398
dog,Hund,125769
country,Land,125731
clear,klar,125730
order,Befehl,125446
em,em,125033
fact,Tatsache,124995
lord,Herr,124880
captain,Kapitän,124874
six,sechs,124087
hot,heiß,123994
funny,lustig,123924
black,Schwarz,123718
mrs.,Frau.,123530
alive,lebendig,122833
pick,wählen,122698
feeling,Gefühl,122065
living,Leben,121552
cause,Ursache,121264
ahead,voraus,120295
lose,verlieren,118712
king,König,118230
plan,planen,118129
dinner,Abendessen,117970
sighs,seufzt,117410
sort,Sortieren,117267
leaving,Verlassen,117050
shouldn,sollte,117029
running,Betrieb,116973
boss,Chef,116736
alright,In Ordnung,116629
promise,versprechen,115908
taken,vergriffen,115236
safe,sicher,114104
ma,ma,114026
book,Buch,113963
sent,gesendet,113959
white,Weiss,112881
hour,Stunde,112782
anybody,irgendjemand,112582
small,klein,112316
perfect,perfekt,112229
cause,Ursache,112193
lives,Leben,110583
special,speziell,110344
parents,Eltern,110206
s,S,110199
john,John,109966
himself,sich selbst,109748
perhaps,womöglich,109240
sounds,Geräusche,109140
serious,ernst,108774
sick,krank,108596
company,Unternehmen,108073
ha,Ha,107974
scared,verängstigt,107906
uncle,Onkel,107826
poor,arm,107444
red,Rot,106589
past,Vergangenheit,106439
earth,Erde,106394
possible,möglich,106080
shoot,schießen,106067
touch,berühren,105846
sound,Klang,105298
top,Spitze,105282
ass,Arsch,105009
laughs,lacht,104913
cannot,kann nicht,103913
asking,fragen,102974
win,gewinnen,102956
glad,froh,102848
control,Kontrolle,102782
hmm,Hmm,102607
human,menschlich,102595
drive,Antrieb,102436
hair,Haar,101852
jack,Jack,101666
bitch,Hündin,101302
luck,Glück,101228
murder,Mord,101133
happens,das passiert,100847
air,Luft,100137
ten,zehn,100133
daddy,Vati,100005
finally,Endlich,99904
chuckles,kichert,99607
fast,schnell,99084
cold,kalt,99032
seem,erscheinen,98575
laughing,Lachen,98420
words,Wörter,98242
hospital,Krankenhaus,98076
street,Straße,98007
hang,aufhängen,97778
dance,tanzen,97339
meeting,treffen,97328
till,bis,97044
others,Andere,96631
catch,fangen,96609
follow,folgen,96529
sense,Sinn,96442
sex,Sex,96431
lie,Lüge,95930
evening,Abend,95321
master,Meister,95131
known,bekannt,95125
dream,Traum,95089
write,schreiben,94964
million,Million,94514
voice,Stimme,94104
sweet,süss,94057
rather,eher,94057
felt,gefühlt,93826
sign,Zeichen,92512
lucky,glücklich,92377
somewhere,irgendwo,92265
bet,Wette,91573
o,Ö,91243
jesus,Jesus,91143
longer,länger,91035
calling,Berufung,90868
worked,hat funktioniert,90771
quiet,ruhig,90552
looked,sah,90441
less,weniger,90011
pull,ziehen,89880
beat,schlagen,89787
careful,vorsichtig,89667
coffee,Kaffee,89650
return,zurückkehren,89451
secret,Geheimnis,89236
weeks,Wochen,88925
weren,waren,88427
date,Datum,88407
seeing,Sehen,88192
fall,fallen,87762
given,gegeben,87738
ooh,Oh,87683
fault,Fehler,87420
straight,gerade,87378
takes,nimmt,86959
song,Lied,86877
future,Zukunft,86832
gentlemen,Herren,86660
loved,geliebt,86138
changed,geändert,86133
road,Straße,85751
calm,ruhig,85638
wonderful,wunderbar,85617
mad,verrückt,85366
turned,gedreht,85279
drop,tropfen,85186
ladies,Damen,85029
learn,lernen,84936
step,Schritt,84882
absolutely,absolut,84856
early,früh,84836
explain,erklären,84368
clean,sauber,84238
piece,Stück,84224
yesterday,gestern,83823
throw,Wurf,83679
picture,Bild,83461
land,Land,83422
feet,Füße,83295
wonder,Wunder,82903
questions,Fragen,82887
speaking,Apropos,82769
worth,Wert,82559
darling,Schatz,82240
dude,Alter,82190
giving,geben,82085
president,Präsident,81980
eye,Auge,81953
quick,schnell,81548
moving,ziehen um,81193
figure,Figur,81048
state,Zustand,80818
strong,stark,80501
sam,Sam,80423
none,keiner,80315
amazing,toll,80267
ones,Einsen,79546
works,Arbeiten,79323
act,Gesetz,79020
needed,erforderlich,78920
weird,seltsam,78317
law,Gesetz,78264
worried,besorgt,78083
report,Bericht,77824
goodbye,Verabschiedung,77514
missing,fehlen,77326
choice,Auswahl,77197
happening,Ereignis,77052
chief,Chef,76951
wedding,Hochzeit,76940
strange,seltsam,76863
general,allgemein,76816
pain,Schmerz,76799
am,Bin,76751
kidding,scherzhaft,76744
decided,entschieden,76683
ya,ya,76658
pass,passieren,76635
tired,müde,76540
class,Klasse,76489
officer,Offizier,76015
kept,gehalten,75930
wake,aufwachen,75776
worse,schlechter,75595
busy,beschäftigt,75557
eh,Eh,75178
mistake,Fehler,74957
kiss,Kuss,74790
court,Gericht,74580
building,Gebäude,74492
finish,beenden,74299
during,während,74298
age,Alter,74262
ship,Schiff,74224
caught,erwischt,74060
marry,heiraten,73938
meant,gemeint,73929
sell,verkaufen,73802
dark,dunkel,73770
watching,Aufpassen,73700
system,System,73678
suppose,vermuten,73465
evidence,Beweis,73113
movie,Film,73070
ride,Fahrt,73070
t,T,72881
completely,vollständig,72777
mouth,Mund,72733
totally,total,72478
birthday,Geburtstag,72140
tv,Fernseher,72054
forgive,verzeihen,71915
born,geboren,71906
imagine,vorstellen,71873
information,Information,71840
instead,stattdessen,71571
definitely,definitiv,71524
security,Sicherheit,71503
certainly,sicherlich,71435
film,Film,71407
month,Monat,71163
lying,lügnerisch,71098
unless,es sei denn,70979
train,Zug,70974
seven,Sieben,70968
wear,tragen,70955
clothes,Kleidung,70929
michael,Michael,70741
hotel,Hotel,70659
christmas,Weihnachten,70624
attack,Attacke,70583
hasn,Hasn,70449
round,runden,70043
expect,erwarten,69614
sing,singen,69575
terrible,abscheulich,69499
george,George,69441
bag,Tasche,69186
history,Geschichte,69119
blue,Blau,68839
near,nahe,68790
broke,Pleite,68629
station,Bahnhof,68571
seriously,ernsthaft,68524
forever,für immer,68510
david,David,68505
frank,frank,68472
except,außer,68440
thinks,denkt,68354
message,Nachricht,68305
entire,gesamte,68282
joe,Joe,68244
table,Tisch,67702
talked,redete,67666
across,über,67595
rock,Felsen,67361
lovely,schön,67236
handle,handhaben,67089
middle,Mitte,66734
buddy,Kumpel,66718
paid,bezahlt,66526
protect,schützen,66508
using,Verwendung,66503
floor,Boden,66456
ran,rannte,66177
swear,schwören,66157
spend,ausgeben,66119
situation,Situation,66029
ring,Ring,66018
anywhere,überall,65981
dangerous,gefährlich,65974
bill,Rechnung,65959
york,York,65880
army,Armee,65795
lead,führen,65756
bought,gekauft,65752
finished,fertig,65659
fair,gerecht,65474
sun,Sonne,65448
letter,Brief,65448
fool,täuschen,65432
attention,Aufmerksamkeit,65421
club,Verein,65275
simple,einfach,65090
interesting,interessant,65082
space,Raum,64991
test,prüfen,64969
box,Kasten,64788
group,Gruppe,64761
single,einzel,64614
sitting,Sitzung,64521
marriage,Hochzeit,64465
join,verbinden,64456
fear,Furcht,64352
d,D,64304
peace,Frieden,64262
forgot,vergessen,64169
force,Gewalt,63737
short,kurz,63714
normal,normal,63676
charlie,Charlie,63672
present,gegenwärtig,63307
enjoy,genießen,63294
mike,Mike,63219
crime,Verbrechen,63084
horse,Pferd,62923
ground,Boden,62860
american,amerikanisch,62835
count,zählen,62763
area,Bereich,62755
charge,Aufladung,62746
honor,ehren,62722
lunch,Mittagessen,62582
miles,Meilen,62523
radio,Radio,62502
idiot,Idiot,62357
ball,Ball,62325
surprise,Überraschung,62170
paper,Papier,62166
key,Taste,62153
boat,Boot,62148
quickly,schnell,62072
gold,Gold,61935
bar,Bar,61927
fish,Fisch,61813
mark,markieren,61805
tom,Tom,61785
wearing,Verschleiß,61749
crying,Weinen,61698
accident,Unfall,61671
government,Regierung,61646
eight,acht,61400
fell,fällen,61371
cover,Abdeckung,61052
certain,bestimmt,61050
interested,interessiert,61029
deep,tief,60938
star,Stern,60903
sea,Meer,60812
agree,zustimmen,60716
problems,Probleme,60633
detective,Detektiv,60633
prison,Gefängnis,60581
major,wesentlich,60560
stick,Stock,60548
offer,Angebot,60444
difficult,schwierig,60404
smart,schlau,60397
personal,persönlich,60381
record,aufzeichnen,60360
stopped,gestoppt,60200
hide,verstecken,60133
whether,ob,59993
bank,Bank,59962
trip,Reise,59906
relax,entspannen,59715
america,Amerika,59703
public,öffentlich,59687
list,Liste,59557
afternoon,Nachmittag,59466
brain,Gehirn,59464
fix,Fix,59349
bastard,Bastard,59332
proud,stolz,59309
tea,Tee,59277
service,Service,59277
screaming,schreiend,59151
forward,nach vorne,59064
angry,wütend,58748
park,Park,58713
soul,Seele,58677
fighting,Kampf,58657
peter,Peter,58654
rich,reich,58651
agent,Agent,58608
blow,Schlag,58531
paul,Paul,58529
dress,Kleid,58429
mary,Maria,58366
missed,vermisst,58324
scene,Szene,58017
killing,Tötung,57890
standing,Stehen,57866
saved,Gerettet,57667
mm,mm,57659
respect,respektieren,57647
killer,Mörder,57555
ice,Eis,57545
mess,Durcheinander,57542
tough,hart,57486
feels,fühlt sich,57388
church,Kirche,57254
sad,traurig,57179
cell,Zelle,57033
drunk,betrunken,56919
share,Aktie,56854
camera,Kamera,56757
mm-hmm,MM-HMM,56720
within,innerhalb,56709
card,Karte,56659
fly,Fliege,56595
ben,Ben,56502
girlfriend,Freundin,56475
laugh,lachen,56460
smell,Geruch,56399
broken,gebrochen,56391
mum,Mama,56281
honest,ehrlich,56234
often,oft,55998
starting,beginnend,55979
calls,Anrufe,55940
y,y,55842
spent,ausgegeben,55836
third,dritte,55750
english,Englisch,55677
visit,besuchen,55638
mama,Mutter,55372
judge,Richter,55336
window,Fenster,55285
hungry,hungrig,55259
dare,Wagen,55131
relationship,Beziehung,55128
moved,gerührt,55096
prove,beweisen,55079
private,Privatgelände,54978
wall,Wand,54813
seat,Sitz,54615
i-i,i-i,54460
position,Position,54449
lieutenant,Leutnant,54321
realize,realisieren,54306
lt,lt,54305
especially,besonders,54148
machine,Maschine,54140
walking,gehen,54115
art,Kunst,54096
pleasure,Vergnügen,54085
bloody,blutig,54026
college,Hochschule,53933
french,französisch,53911
involved,beteiligt,53718
cry,weinen,53674
became,wurde,53603
lived,lebte,53550
impossible,unmöglich,53527
obviously,offensichtlich,53527
neither,weder,53452
accept,akzeptieren,53291
boyfriend,Freund,53124
besides,neben,53110
queen,Königin,53006
teacher,Lehrer,53004
cops,Polizisten,52981
sake,Gunst,52827
loves,Liebt,52751
carry,tragen,52734
teach,unterrichten,52731
apartment,Wohnung,52714
upset,verärgern,52565
green,Grün,52557
la,la,52546
liked,gefallen,52485
cute,Niedlich,52240
evil,teuflisch,52175
professor,Professor,52026
contact,Kontakt,51750
joke,scherzen,51728
cop,Polizist,51701
huge,riesig,51581
holy,heilig,51499
store,speichern,51492
jail,Gefängnis,51429
likes,Likes,51334
lawyer,Rechtsanwalt,51332
doubt,zweifeln,51287
continue,weitermachen,51279
appreciate,anerkennen,51258
cat,Katze,51175
shop,Geschäft,50976
driving,Fahren,50866
congratulations,Glückwunsch,50847
wrote,schrieb,50800
village,Dorf,50792
quit,aufhören,50649
field,Feld,50617
james,James,50562
wine,Wein,50522
decision,Entscheidung,50446
south,Süd,50364
sleeping,Schlafen,50357
slow,langsam,50276
laughter,Lachen,50196
island,Insel,50107
glass,Glas,50103
beginning,Anfang,50069
cash,Kasse,49976
dying,Absterben,49963
hundred,hundert,49823
whose,wessen,49808
difference,Unterschied,49743
plane,Ebene,49704
push,drücken,49690
continues,geht weiter,49684
mmm,mmm,49655
singing,Singen,49144
eating,Essen,49119
north,Norden,49107
mrs,Frau,49087
tree,Baum,49017
madam,gnädige Frau,48931
gift,Geschenk,48891
truck,LKW,48807
putting,Putten,48797
bear,tragen,48674
board,Planke,48666
grab,greifen,48653
beer,Bier,48641
stuck,gesteckt,48497
magic,Magie,48484
support,Unterstützung,48351
rules,Regeln,48345
grunts,Grunzen,48253
partner,Partner,48247
reach,erreichen,48221
wind,Wind,48063
colonel,Oberst,48036
max,Max,47938
immediately,sofort,47938
seconds,Sekunden,47936
thousand,tausend,47934
gives,gibt,47900
experience,Erfahrung,47824
cheers,Beifall,47819
victim,Opfer,47739
upon,auf,47699
computer,Computer,47672
christ,Christus,47650
planet,Planet,47564
promised,versprochen,47559
bus,Bus,47534
henry,Henry,47491
dirty,schmutzig,47462
search,suchen,47439
staying,bleiben,47241
dreams,Träume,47210
arrest,Festnahme,46994
holding,Holding,46938
suddenly,plötzlich,46833
usually,normalerweise,46770
lots,viele,46570
shoes,Schuhe,46490
er,ähm,46383
jump,springen,46358
rid,loswerden,46242
yo,yo,46233
knock,klopfen,46228
owe,verdanken,46153
harry,Harry,46028
grow,wachsen,46010
worst,schlimmste,45845
river,Fluss,45834
aunt,Tante,45834
patient,geduldig,45828
kitchen,Küche,45812
aah,aah,45774
fat,fett,45737
passed,bestanden,45678
m,M,45657
final,Finale,45614
summer,Sommer,45611
bob,Bob,45572
listening,Hören,45564
escape,fliehen,45553
everywhere,überall,45430
moon,Mond,45422
arms,Waffen,45390
turns,wendet sich,45374
address,Adresse,45332
ow,ow,45251
match,passen,45223
gasps,Keuchen,45214
grand,Grand,45183
yep,ja,45096
shh,Shh,44939
nervous,nervös,44913
de,de,44903
choose,wählen,44853
themselves,sich,44832
decide,entscheiden,44806
mate,sich paaren,44782
drinking,Trinken,44770
press,Drücken Sie,44624
bother,sich kümmern,44619
foot,Fuß,44588
hadn,Hadn,44545
blame,beschuldigen,44534
crap,Mist,44529
drugs,Drogen,44516
type,Typ,44489
rings,Ringe,44331
mission,Mission,44289
named,genannt,44264
heaven,Himmel,44231
ii,ii,44152
picked,gepflückt,44114
paris,Paris,44110
race,Wettrennen,44089
risk,Risiko,44005
books,Bücher,43897
further,weiter,43839
danny,Danny,43801
action,Aktion,43798
allowed,erlaubt,43797
orders,Aufträge,43786
learned,gelernt,43716
price,Preis,43671
arrived,angekommen,43640
nick,Nick,43636
otherwise,ansonsten,43596
pictures,Bilder,43550
fit,fit,43502
smoke,Rauch,43421
favor,favorisieren,43370
played,gespielt,43357
notice,Notiz,43315
awesome,Eindrucksvoll,43298
smile,lächeln,43295
director,Direktor,43294
guard,bewachen,43270
begin,Start,43130
spot,Stelle,43079
surprised,überrascht,43018
innocent,unschuldig,42962
narrator,Erzähler,42916
herself,Sie selber,42884
london,London,42880
feelings,Gefühle,42843
enemy,Feind,42799
battle,Schlacht,42785
ourselves,uns selbst,42731
alex,Alex,42710
dollars,Dollar,42705
allow,erlauben,42649
nine,neun,42538
gay,Fröhlich,42536
department,Abteilung,42487
guilty,schuldig,42459
apart,auseinander,42417
earlier,früher,42407
duty,Pflicht,42329
jim,Jim,42323
suit,Anzug,42315
bell,Glocke,42299
west,West,42219
legs,Beine,42152
hero,Held,42093
destroy,zerstören,42078
stage,Bühne,42074
bunch,Bündel,42064
according,nach,42026
chicken,Huhn,41996
bigger,größer,41873
grunting,grunzen,41866
low,niedrig,41837
helping,Portion,41832
admit,zugeben,41817
closed,geschlossen,41801
names,Namen,41772
witness,Zeuge,41753
upstairs,nach oben,41732
arm,Arm,41726
steal,stehlen,41720
jimmy,Jimmy,41706
kick,trete,41697
twice,zweimal,41693
cross,kreuzen,41692
ways,Wege,41675
sergeant,Sergeant,41650
indeed,In der Tat,41591
gas,Gas,41535
keeping,Halten,41371
energy,Energie,41290
pregnant,schwanger,41290
waste,Abfall,41240
helped,geholfen,41235
fired,gefeuert,41193
favorite,Favorit,41153
tony,Tony,41145
taste,schmecken,41080
locked,gesperrt,41079
places,setzt,41041
writing,Schreiben,41035
adam,Adam,41028
brothers,Brüder,41025
starts,beginnt,41012
prince,Prinz,40914
form,form,40833
sold,verkauft,40796
silly,albern,40758
mention,erwähnen,40753
build,bauen,40738
throat,Kehle,40719
hole,Loch,40658
figured,gezeichnet,40590
track,Schiene,40578
ringing,Klingeln,40518
lock,sperren,40462
leg,Bein,40449
above,über,40388
hiding,versteckt,40387
steve,Steve,40377
seemed,schien,40343
breakfast,Frühstück,40285
engine,Motor,40282
written,geschrieben,40246
complete,vollständig,40210
video,Video,40195
applause,Beifall,40194
however,Jedoch,40098
pressure,Druck,40065
fresh,frisch,40049
weapon,Waffe,40033
sky,Himmel,39986
ms.,MS.,39904
stole,Stahl,39897
study,lernen,39882
burn,brennen,39874
reading,Lektüre,39869
crowd,Menge,39856
treat,behandeln,39803
roll,rollen,39791
double,doppelt,39770
spirit,Geist,39556
danger,Achtung,39518
cost,kosten,39485
empty,leer,39482
level,eben,39476
memory,Speicher,39331
itself,selbst,39330
acting,Schauspielkunst,39326
interest,Interesse,39252
nose,Nase,39194
plans,Pläne,39142
following,folgen,39136
bathroom,Badezimmer,39095
built,gebaut,39041
closer,näher,39022
ray,Strahl,38995
sarah,Sarah,38933
band,Band,38918
groans,stöhnt,38867
apparently,scheinbar,38705
excited,aufgeregt,38640
richard,Richard,38625
losing,verlieren,38585
animals,Tiere,38518
flight,Flug,38504
nature,Natur,38496
raise,heben,38449
pop,Pop,38419
client,Klient,38407
bomb,Bombe,38395
neck,Nacken,38371
suspect,verdächtig,38365
warm,warm,38355
extra,extra,38335
bottle,Flasche,38229
van,Van,38223
heavy,schwer,38220
mommy,Mama,38167
dogs,Hunde,38164
wild,wild,38162
ridiculous,lächerlich,38121
simply,einfach,38100
lee,Lee,38047
