,English,German,Frequency
376,working,arbeiten,193172
377,water,Wasser,193014
378,person,Person,192652
379,part,Teil,192248
380,kids,Kinder,192050
381,late,spät,191989
382,stuff,Sachen,190629
383,exactly,genau,189513
384,under,under,189347
385,death,Tod,189000
386,minute,Minute,188958
387,pay,bezahlen.,188822
388,crazy,verrückt,188767
389,forget,vergessen,188628
390,everybody,alle,188532
391,kid,Kind,187858
392,change,ändern,186962
393,gave,gab,186445
394,happen,beißt,186041
395,damn,damn,184228
396,five,fünf,183626
397,drink,trinken,182580
398,far,weit,182287
399,knows,kennt,181663
400,its,seine,180594
401,whatever,was auch immer,180082
402,eyes,Augen,179260
403,shut,schließen,178378
404,aren,Ohren,178286
405,hit,treffen.,177770
406,taking,unter,177667
407,easy,einfach,177337
408,times,mal,176522
409,check,siehe,176507
410,hands,Hände,176291
411,minutes,Minuten,175091
412,deal,Angebot,174929
413,different,verschiedene,174657
414,means,bedeutet,174311
415,point,Punkt,174205
416,inside,innerhalb,174081
417,makes,macht,172281
418,asked,Asche,171740
419,somebody,jemand,171596
420,mine,meine,170636
421,making,Herstellung von,169037
422,body,Körper,168798
423,afraid,Angst,168774
424,sleep,schlafen,168103
425,chance,Chance,167981
426,dear,dear,167351
427,quite,quite,166980
428,four,vier,166957
429,anyway,trotzdem,166702
430,close,schließen,166677
431,ain,ain,166551
432,party,Partei,166137
433,fun,Spaß,165693
434,against,gegen,165033
435,word,werden.,164938
436,comes,kommt,164503
437,important,wichtig,164386
438,set,einstellen.,164165
439,shall,soll,164162
440,story,Geschichte,164040
441,number,Nummer,163259
442,daughter,Tochter,163071
443,least,am wenigsten,162905
444,waiting,Warten,162571
445,hurt,verletzt,161421
446,wish,Wunsch,160204
447,moment,Moment,159995
448,fight,kämpfen,159911
449,week,Woche,159444
450,husband,Ehemann,159394
451,girls,Mädchen,159061
452,rest,Rest,158976
453,married,verheiratet,157817
454,fire,Feuer,157532
455,game,Spiel,157501
456,nobody,niemand,157014
457,mr,Herr,156641
458,children,Kinder,156181
459,side,Seite,155667
460,stand,stand,155391
461,read,lesen,154667
462,though,obwohl,154479
463,cut,schneiden,154407
464,started,gestartet,154345
465,sister,Schwester,154095
466,supposed,angeblich,153117
467,between,zwischen,152520
468,child,Kind,151864
469,goes,geht,151195
470,hours,Stunden,151156
471,speak,sprechen,150927
472,women,Frauen,150803
473,behind,hinter,148469
474,almost,fast,148405
475,truth,Wahrheit,148389
476,blood,Blut,147913
477,able,fähig,147205
478,lady,Zähler,147121
479,anymore,mehr,146903
480,playing,Spielen,146615
481,gets,erhält,146064
482,shot,Schuss,144772
483,reason,Grund,144399
484,trouble,Störung,143235
485,break,Pause,143107
486,war,Krieg,142825
487,city,Stadt,142573
488,walk,Spaziergang,142055
489,town,Stadt,141835
490,trust,Vertrauen,141327
491,dr.,dr.,141231
492,met,traf,141208
493,office,Büro,141140
494,question,Frage,140970
495,brought,brachte,140661
496,yours,Ihr,140553
497,welcome,Willkommen,140327
498,high,hoch,140078
499,wow,wow,139593
500,couple,Paar,138996
501,half,halb,138527
502,died,gestorben,138432
503,cool,cool,138139
504,free,kostenlos,137598
505,either,entweder,137448
506,seems,scheint,136699
507,power,Macht,136611
508,whoa,Whoa,136564
509,bye,tschüss,136276
510,buy,kaufen,136137
511,telling,zählen,136109
512,honey,Honig,135631
513,tried,versucht,135401
514,front,Vorderseite,135341
515,team,Team,134358
516,answer,Antwort,134088
517,gun,Waffe,133072
518,boys,Jungen,132594
519,line,Zeile,132433
520,send,send,131999
521,news,Nachrichten,131599
522,stupid,dumm,131497
523,bed,Bett,131445
524,hurry,Eile,130182
525,full,vollständig,129735
526,months,Monate,129732
527,save,speichern,129390
528,sometimes,manchmal,128779
529,become,werden.,128716
530,along,entlang,128220
531,hate,hassen,128153
532,food,Lebensmittel,127657
533,outside,außerhalb,127251
534,light,Licht,126657
535,l,l,126518
536,needs,braucht,126398
537,dog,Hund,125769
538,country,Land,125731
539,clear,klar,125730
540,order,Bestellung,125446
541,em,em,125033
542,fact,Tatsache,124995
543,lord,Fürst,124880
544,captain,Kapitän,124874
545,six,sechs,124087
546,hot,heiß,123994
547,funny,lustig,123924
548,black,schwarz,123718
549,mrs.,Frau,123530
550,alive,lebendig,122833
551,pick,Wählen Sie,122698
552,feeling,Gefühl,122065
553,living,leben,121552
554,cause,verursachen,121264
555,ahead,voraus,120295
556,lose,verlieren,118712
557,king,König,118230
558,plan,Plan,118129
559,dinner,Abendessen,117970
560,sighs,seufzt,117410
561,sort,sort,117267
562,leaving,verlassen.,117050
563,shouldn,sollte,117029
564,running,läuft,116973
565,boss,Chef,116736
566,alright,in Ordnung,116629
567,promise,Versprechen,115908
568,taken,genommen,115236
569,safe,sicher,114104
570,ma,ma,114026
571,book,Buch,113963
572,sent,gesendet,113959
573,white,weiß,112881
574,hour,Stunde,112782
575,anybody,jeder,112582
576,small,klein,112316
577,perfect,perfekt,112229
578,lives,lebt,112193
579,special,Spezial,110583
580,parents,Eltern,110344
581,john,john,110206
582,himself,selbst,110199
583,perhaps,vielleicht,109966
584,sounds,klingt,109748
585,serious,seriös,109240
586,sick,krank,109140
587,company,Unternehmen,108774
588,ha,ha,108596
589,scared,verängstigt,108073
590,uncle,Onkel,107974
591,poor,arm,107906
592,red,rot,107826
593,past,Vergangenheit,107444
594,earth,Erde,106589
595,possible,möglich,106439
596,shoot,schießen,106394
597,touch,touch,106080
598,sound,Klang,106067
599,top,top,105846
600,ass,Arsch,105298
601,laughs,lacht,105282
602,cannot,kann nicht,105009
603,asking,Frage,104913
604,win,gewinnen,103913
605,glad,froh,102974
606,control,Kontrolle,102956
607,hmm,hmm,102848
608,human,menschlich,102782
609,drive,Antrieb,102607
610,hair,Haare,102595
611,jack,jack,102436
612,bitch,Schlampe,101852
613,luck,Glück,101666
614,murder,Mord,101302
615,happens,geschieht,101228
616,air,Luft,101133
617,ten,zehn,100847
618,daddy,Daddy,100137
619,finally,schließlich,100133
620,chuckles,gluckst,100005
621,fast,schnell,99904
622,cold,kalt,99607
623,seem,scheinen,99084
624,laughing,lachend,99032
625,words,Wörter,98575
626,hospital,Krankenhaus,98420
627,street,Straße,98242
628,hang,hängen,98076
629,dance,tanzen,98007
630,meeting,Treffen,97778
631,till,zu,97339
632,others,andere,97328
633,catch,fangen,97044
634,follow,folgen,96631
635,sense,Sinn,96609
636,sex,Sex,96529
637,lie,liegen,96442
638,evening,Abend,96431
639,master,Meister,95930
640,known,bekannt,95321
641,dream,Traum,95131
642,write,schreiben.,95125
643,million,Millionen,95089
644,voice,Stimme,94964
645,sweet,süß,94514
646,rather,eher,94104
647,felt,Filz,94057
648,sign,Zeichen,94057
649,lucky,Glück,93826
650,somewhere,irgendwo,92512
651,bet,Wette,92377
652,o,o,92265
653,jesus,jesus,91573
654,longer,länger,91243
655,calling,aufrufen,91143
656,worked,gearbeitet,91035
657,quiet,leise,90868
658,looked,siehe,90771
659,less,weniger,90552
660,pull,ziehen,90441
661,beat,schlagen,90011
662,careful,vorsichtig,89880
663,coffee,Kaffee,89787
664,return,return,89667
665,secret,geheim,89650
666,weeks,Wochen,89451
667,weren,weren,89236
668,date,Datum,88925
669,seeing,seeing,88427
670,fall,fall,88407
671,given,gegeben,88192
672,ooh,ooh,87762
673,fault,Störung,87738
674,straight,gerade,87683
675,takes,nimmt,87420
676,song,Lied,87378
677,future,Zukunft,86959
678,gentlemen,Herren,86877
679,loved,liebte,86832
680,changed,geändert,86660
681,road,Straße,86138
682,calm,ruhig,86133
683,wonderful,Wunderbar,85751
684,mad,verrückt,85638
685,turned,gedreht.,85617
686,drop,fallen lassen,85366
687,ladies,ladies,85279
688,learn,lernen,85186
689,step,Schritt,85029
690,absolutely,absolut,84936
691,early,früh,84882
692,explain,erklären,84856
693,clean,sauber,84836
694,piece,Stück,84368
695,yesterday,gestern,84238
696,throw,werfen,84224
697,picture,Bild,83823
698,land,Land,83679
699,feet,Füße,83461
700,wonder,Wunder,83422
701,questions,Fragen,83295
702,speaking,Sprechen,82903
703,worth,wert,82887
704,darling,Liebling,82769
705,dude,Kumpel,82559
706,giving,Geben,82240
707,president,Präsident,82190
708,eye,Auge,82085
709,quick,schnell,81980
710,moving,Umzug,81953
711,figure,Abbildung,81548
712,state,Staat,81193
713,strong,stark,81048
714,sam,sam,80818
715,none,keine,80501
716,amazing,erstaunlich,80423
717,ones,s,80315
718,works,Werke,80267
719,act,handeln,79546
720,needed,benötigt,79323
721,weird,seltsam,79020
722,law,Gesetz,78920
723,worried,besorgt,78317
724,report,Bericht,78264
725,goodbye,Auf Wiedersehen,78083
726,missing,fehlt,77824
727,choice,Auswahl,77514
728,happening,Happening,77326
729,chief,Chef,77197
730,wedding,Hochzeit,77052
731,strange,seltsam,76951
732,general,allgemein,76940
733,pain,Schmerzen,76863
734,kidding,scherzhaft,76816
735,decided,beschlossen,76799
736,ya,ya,76751
737,pass,Pass,76744
738,tired,müde,76683
739,class,Klasse,76658
740,officer,Offizier,76635
741,kept,gehalten,76540
742,wake,wecken,76489
743,worse,schlechter,76015
744,busy,beschäftigt,75930
745,eh,eh,75776
746,mistake,Fehler,75595
747,kiss,Kuss,75557
748,court,Gericht,75178
749,building,Gebäude,74957
750,finish,fertigstellen,74790
751,during,während,74580
752,age,Alter,74492
753,ship,Schiff,74299
754,caught,gefangen,74298
755,marry,heiraten,74262
756,meant,bedeutete,74224
757,sell,verkaufen,74060
758,dark,dunkel,73938
759,watching,siehe,73929
760,system,System,73802
761,suppose,"angenommen,",73770
762,evidence,Beweise,73700
763,movie,Film,73678
764,ride,Fahrt,73465
765,completely,vollständig,73113
766,mouth,Mund,73070
767,totally,völlig,73070
768,birthday,Geburtstag,72881
769,tv,TV,72777
770,forgive,verzeihen,72733
771,born,geboren,72478
772,imagine,vorstellen,72140
773,information,Informationen,72054
774,instead,stattdessen,71915
775,definitely,definitiv,71906
776,security,Sicherheit,71873
777,certainly,sicherlich,71840
778,film,Film,71571
779,month,Monat,71524
780,lying,liegend,71503
781,unless,"es sei denn,",71435
782,train,Zug,71407
783,seven,sieben,71163
784,wear,tragen,71098
785,clothes,Kleidung,70979
786,michael,michael,70974
787,hotel,Hotel,70968
788,christmas,weihnachten,70955
789,attack,angreifen,70929
790,hasn,hat,70741
791,round,rund,70659
792,expect,erwarten,70624
793,sing,singen,70583
794,terrible,schrecklich,70449
795,george,george,70043
796,bag,Tasche,69614
797,history,Geschichte,69575
798,blue,blau,69499
799,near,in der Nähe von,69441
800,broke,kaputt,69186
801,station,Bahnhof,69119
802,seriously,ernsthaft,68839
803,forever,für immer,68790
804,david,david,68629
805,frank,frank,68571
806,except,außer,68524
807,thinks,denkt,68510
808,message,Nachricht,68505
809,entire,gesamte,68472
810,joe,joe,68440
811,table,Tabelle,68354
812,talked,gesprochen,68305
813,across,über,68282
814,rock,Felsen,68244
815,lovely,schön,67702
816,handle,Griff,67666
817,middle,Mitte,67595
818,buddy,Kumpel,67361
819,paid,bezahlt,67236
820,protect,schützen,67089
821,using,mit,66734
822,floor,Boden,66718
823,ran,lief,66526
824,swear,schwören,66508
825,spend,ausgeben,66503
826,situation,Lage,66456
827,ring,Ring,66177
828,anywhere,überall,66157
829,dangerous,gefährlich,66119
830,bill,Rechnung,66029
831,york,york,66018
832,army,Armee,65981
833,lead,Blei,65974
834,bought,gekauft,65959
835,finished,fertig,65880
836,fair,Messe,65795
837,sun,Sonne,65756
838,letter,Schreiben,65752
839,fool,Narr,65659
840,attention,Achtung,65474
841,club,Verein,65448
842,simple,einfach,65448
843,interesting,interessant,65432
844,space,Raum,65421
845,test,Test,65275
846,box,Box,65090
847,group,Gruppe,65082
848,single,einzeln,64991
849,sitting,sitzend,64969
850,marriage,Ehe,64788
851,join,beitreten,64761
852,fear,Angst,64614
853,peace,Frieden,64521
854,forgot,vergessen,64465
855,force,Kraft,64456
856,short,kurz,64352
857,normal,normal,64304
858,charlie,charlie,64262
859,present,Gegenwart,64169
860,enjoy,genießen Sie,63737
861,mike,mike,63714
862,crime,Verbrechen,63676
863,horse,Pferd,63672
864,ground,Boden,63307
865,american,amerikanisch,63294
866,count,zählen,63219
867,area,Bereich,63084
868,charge,Gebühr,62923
869,honor,ehren,62860
870,lunch,Mittagessen,62835
871,miles,Meilen,62763
872,radio,Radio,62755
873,idiot,Idiot,62746
874,ball,Kugel,62722
875,surprise,Überraschung,62582
876,paper,Papier,62523
877,key,Schlüssel,62502
878,boat,Boot,62357
879,quickly,schnell,62325
880,gold,Gold,62170
881,bar,bar,62166
882,fish,Fisch,62153
883,mark,mark,62148
884,tom,tom,62072
885,wearing,mit,61935
886,crying,weinend,61927
887,accident,Unfall,61813
888,government,Regierung,61805
889,eight,acht,61785
890,fell,fallen,61749
891,cover,Abdeckung,61698
892,certain,bestimmte,61671
893,interested,Interessiert,61646
894,deep,tief,61400
895,star,Stern,61371
896,sea,Meer,61052
897,agree,zustimmen,61050
898,problems,Probleme,61029
899,detective,Detektiv,60938
900,prison,Gefängnis,60903
901,major,Haupt,60812
902,stick,Stick,60716
903,offer,Angebot,60633
904,difficult,schwierig,60633
905,smart,schmerzhaft,60581
906,personal,Mitarbeiter,60560
907,record,Eintrag,60548
908,stopped,gestoppt,60444
909,hide,ausblenden,60404
910,whether,ob,60397
911,bank,Bank,60381
912,trip,Reise,60360
913,relax,entspannen,60200
914,america,amerika,60133
915,public,öffentlich,59993
916,list,Liste,59962
917,afternoon,Nachmittag,59906
918,brain,Gehirn,59715
919,fix,reparieren,59703
920,bastard,Bastard,59687
921,proud,aktuell,59557
922,tea,Tee,59466
923,service,Dienstleistung,59464
924,screaming,schreiend,59349
925,forward,weiter,59332
926,angry,wütend,59309
927,park,Park,59277
928,soul,Seele,59277
929,fighting,Kampf gegen,59151
930,peter,peter,59064
931,rich,rich,58748
932,agent,agent,58713
933,blow,blasen,58677
934,paul,Paul,58657
935,dress,Kleid,58654
936,mary,mary,58651
937,missed,verpasst,58608
938,scene,Szene,58531
939,killing,Töten,58529
940,standing,stehend,58429
941,saved,gespeichert,58366
942,mm,mm,58324
943,respect,Respekt,58017
944,killer,Killer,57890
945,ice,Eis,57866
946,mess,Chaos,57667
947,tough,zäh,57659
948,feels,fühlt sich,57647
949,church,Kirche,57555
950,sad,traurig,57545
951,cell,Zelle,57542
952,drunk,betrunken,57486
953,share,Aktie,57388
954,camera,Kamera,57254
955,mm-hmm,mm-hmm,57179
956,within,innerhalb,57033
957,card,Karte,56919
958,fly,Fliege,56854
959,ben,ben,56757
960,girlfriend,Freundin,56720
961,laugh,lachen,56709
962,smell,bang,56659
963,broken,gebrochen,56595
964,mum,Mutter,56502
965,honest,ehrlich,56475
966,often,oft,56460
967,starting,ab,56399
968,calls,ruft  auf.,56391
969,y,y,56281
970,spent,ausgegeben,56234
971,third,dritte,55998
972,english,Englisch,55979
973,visit,besuchen Sie,55940
974,mama,Mama,55842
975,judge,Richter,55836
976,window,window,55750
977,hungry,hungrig,55677
978,dare,wagen,55638
979,relationship,Beziehung,55372
980,moved,umgezogen,55336
981,prove,beweisen,55285
982,private,privat,55259
983,wall,Wand,55131
984,seat,Sitz,55128
985,i-i,i-i,55096
986,position,Position,55079
987,lieutenant,Leutnant,54978
988,realize,realisieren,54813
989,lt,Es,54615
990,especially,insbesondere,54460
991,machine,Maschine,54449
992,walking,Wandern,54321
993,art,Kunst,54306
994,pleasure,Vergnügen,54305
995,bloody,blutig,54148
996,college,Hochschule,54140
997,french,französisch,54115
998,involved,beteiligt,54096
999,cry,weinen,54085
1000,became,wurde,54026
1001,lived,gelebt,53933
1002,impossible,unmöglich,53911
1003,obviously,natürlich,53718
1004,neither,weder,53674
1005,accept,akzeptieren,53603
1006,boyfriend,Freund,53550
1007,besides,neben,53527
1008,queen,Königin,53527
1009,teacher,Lehrer,53452
1010,cops,Polizisten,53291
1011,sake,Sake,53124
1012,loves,liebt,53110
1013,carry,tragen,53006
1014,teach,unterrichten,53004
1015,apartment,Wohnung,52981
1016,upset,verärgert,52827
1017,green,grün,52751
1018,la,la,52734
1019,liked,mochte,52731
1020,cute,niedlich,52714
1021,evil,böse,52565
1022,professor,Professor,52557
1023,contact,Kontakt,52546
1024,joke,Scherzartikel,52485
1025,cop,Polizist,52240
1026,huge,riesig,52175
1027,holy,Heilige,52026
1028,store,speichern,51750
1029,jail,E-Mail,51728
1030,likes,mag,51701
1031,lawyer,Rechtsanwalt,51581
1032,doubt,Zweifel,51499
1033,continue,weiter,51492
1034,appreciate,schätzen,51429
1035,cat,Katze,51334
1036,shop,Shop,51332
1037,driving,Fahren,51287
1038,congratulations,Herzlichen Glückwunsch,51279
1039,wrote,schrieb,51258
1040,village,Dorf,51175
1041,quit,kündigen,50976
1042,field,Feld,50866
1043,james,james,50847
1044,wine,Wein,50800
1045,decision,Entscheidung,50792
1046,south,Süden,50649
1047,sleeping,schlafend,50617
1048,slow,langsam,50562
1049,laughter,Lachen,50522
1050,island,Insel,50446
1051,glass,Glas,50364
1052,beginning,Anfang,50357
1053,cash,Bargeld,50276
1054,dying,Sterben,50196
1055,hundred,hundert,50107
1056,whose,deren,50103
1057,difference,Unterschied,50069
1058,plane,Flugzeug,49976
1059,push,drücken.,49963
1060,continues,weiter,49823
1061,mmm,mmm,49808
1062,singing,Gesang,49743
1063,eating,Essen,49704
1064,north,Norden,49690
1065,mrs,Frau,49684
1066,tree,Baum,49655
1067,madam,Madame,49144
1068,gift,Geschenk,49119
1069,truck,Lkw,49107
1070,putting,setzen.,49087
1071,bear,Bär,49017
1072,board,Vorstand,48931
1073,grab,greifen,48891
1074,beer,Bär,48807
1075,stuck,geklebt,48797
1076,magic,Magie,48674
1077,support,Unterstützung,48666
1078,rules,Regeln,48653
1079,grunts,grunts,48641
1080,partner,Partner,48497
1081,reach,erreichen.,48484
1082,wind,Wind,48351
1083,colonel,Oberst,48345
1084,max,max,48253
1085,immediately,sofort,48247
1086,seconds,Sekunden,48221
1087,thousand,Tausend,48063
1088,gives,gibt,48036
1089,experience,erleben,47938
1090,cheers,Prost,47938
1091,victim,Opfer,47936
1092,upon,auf,47934
1093,computer,Computer,47900
1094,christ,christ,47824
1095,planet,Planet,47819
1096,promised,versprochen,47739
1097,bus,Bus,47699
1098,henry,henry,47672
1099,dirty,schmutzig,47650
1100,search,Suche,47564
1101,staying,Bleiben,47559
1102,dreams,Träume,47534
1103,arrest,Festnahme,47491
1104,holding,Betrieb,47462
1105,suddenly,plötzlich,47439
1106,usually,in der Regel,47241
1107,lots,Lose,47210
1108,shoes,Schuhe,46994
1109,er,er,46938
1110,jump,springen,46833
1111,rid,loswerden,46770
1112,yo,yo,46570
1113,knock,klopfen,46490
1114,owe,verdanken,46383
1115,harry,harry,46358
1116,grow,wachsen,46242
1117,worst,schlechteste,46233
1118,river,Fluss,46228
1119,aunt,Tante,46153
1120,patient,Patient,46028
1121,kitchen,Küche,46010
1122,aah,aah,45845
1123,fat,fett,45834
1124,passed,bestanden,45834
1125,final,endgültig,45828
1126,summer,Sommer,45812
1127,bob,bob,45774
1128,listening,Abhören,45737
1129,escape,Flucht,45678
1130,everywhere,überall,45657
